MAJ ETE 2016
MAJ HIVER 2016/2017

W ; CDG ; LHR ; 01h15 ; AF1080 ; 320
W ; LHR ; CDG ; 01h10 ; AF1081 ; 320
W ; CDG ; LHR ; 01h20 ; AF1180 ; 320
W ; LHR ; CDG ; 01h15 ; AF1181 ; 320
W ; CDG ; LHR ; 01h20 ; AF1280 ; 320
W ; LHR ; CDG ; 01h15 ; AF1281 ; 320
W ; CDG ; LHR ; 01h20 ; AF1380 ; 320
W ; LHR ; CDG ; 01h20 ; AF1381 ; 320
W ; CDG ; LHR ; 01h20 ; AF1580 ; 320
W ; LHR ; CDG ; 01h15 ; AF1581 ; 320
W ; CDG ; LHR ; 01h20 ; AF1680 ; 320
W ; LHR ; CDG ; 01h15 ; AF1681 ; 320
W ; CDG ; LHR ; 01h15 ; AF1780 ; 320
W ; LHR ; CDG ; 01h10 ; AF1781 ; 320
W ; MRS ; BOD ; 01h05 ; ; 320
W ; BOD ; MRS ; 01h05 ; ; 320
W ; MRS ; NTE ; 01h20 ; ; 320
W ; NTE ; MRS ; 01h15 ; ; 320
W ; MRS ; AMS ; 02h00 ; ; 320
W ; AMS ; MRS ; 01h45 ; ; 320
W ; NCE ; NTE ; 01h35 ; ; 320
W ; NTE ; NCE ; 01h25 ; ; 320
W ; BES ; ORY ; 01h15 ; ; 320
W ; ORY ; BES ; 01h10 ; ; 320
W ; BLQ ; CDG ; 01h45 ; ; 320
W ; CDG ; BLQ ; 01h40 ; ; 320
W ; CDG ; BES ; 01h20 ; ; 320
W ; BES ; CDG ; 01h15 ; ; 320
W ; LYS ; ORY ; 01h00 ; ; 320
W ; ORY ; LYS ; 01h00 ; ; 320
W ; CDG ; FLR ; 01h45 ; ; 320
W ; FLR ; CDG ; 01h45 ; ; 320
W ; LYS ; BOD ; 01h10 ; ; 320
W ; BOD ; LYS ; 01h10 ; ; 320
W ; LYS ; NTE ; 01h15 ; ; 320
W ; NTE ; LYS ; 01h15 ; ; 320
W ; CDG ; ZRH ; 01h15 ; ; 320
W ; ZRH ; CDG ; 01h20 ; ; 320
W ; ORY ; PGF ; 01h15 ; ; 320
W ; PGF ; ORY ; 01h25 ; ; 320
W ; CDG ; ORN ; 02h25 ; ; 320
W ; ORN ; CDG ; 02h35 ; ; 320
W ; CDG ; GLA ; 01h45 ; ; 320
W ; GLA ; CDG ; 01h50 ; ; 320
